Alert_ID,Affected_Routes,Cause,Summary
78178,"Route 150, F Line",CONSTRUCTION,Stop #58104 Southcenter Blvd & 65th Ave S (EB) closed through Fri Aug 28 due to construction.
78978,Route 239,CONSTRUCTION,Route 239 to UW Bothell / Cascadia College is rerouted off Main St between 102nd Ave NE & 104th Ave NE through Fri Sep 25 due to construction.
80245,"Route 10, Route 12",CONSTRUCTION,Stop #11480 E Pine St & 15th Ave (WB) relocated through Thu Dec 31 due to construction.
80976,Route 65,CONSTRUCTION,Route 65 to Shoreline South 148th Station is rerouted off NE 145th St between 15th Ave NE and 5th Ave NE through Fri Aug 28 due to construction.
82885,Route 156,OTHER_CAUSE,"Route 156 will be rerouted off portions of Kent Des Moines Rd, S 240th St and 16th Ave S from Mon Feb 9 to Thu Dec 31 due to a road closure."
82886,Route 165,OTHER_CAUSE,Route 165 will be rerouted off S 240th St between 16th Ave S and 20th Ave S from Mon Feb 9 to Thu Dec 31 due to a road closure.
84453,Route 70,CONSTRUCTION,Stop #9550 Eastlake Ave E & E Allison St (NB) relocated until Fri Aug 28 at 7:00 PM due to construction.
85376,Route 160,CONSTRUCTION,Stop #59951 Talbot Rd S & S 32nd St (SB) and Stop #60359 Talbot Rd S & S 32nd St (NB) relocated through Sat Aug 1 due to construction.
86095,"Route 914, Route 165",OTHER_CAUSE,Stop #57188 W Meeker St & Washington Ave S (EB) relocated from Mon Apr 6 through Mon Apr 26 due to permanent bus stop closure.
86627,Route 168,CONSTRUCTION,Stop #62319 SE Kent-Kangley Rd & 235th Ave SE (EB) relocated from Wed Apr 15 to Fri Sep 25 8:00 AM to 3:00 PM daily due to construction.
86736,Route 70,CONSTRUCTION,Route 70 to Downtown Seattle is rerouted off Fairview Ave N between Aloha St and Valley St until Mon Aug 31 due to construction.
86755,"Route 986, Route 982, Route 542, Route 255, Route 556, Route 256, Route 545",UNKNOWN_CAUSE,The elevator at SR 520 & Evergreen Point Rd (WB) is out of service until further notice.
86769,Route 160,CONSTRUCTION,Stop #57140 104th Ave SE & SE 235th St (NB) relocated from Mon Apr 20 through Fri Aug 7 due to construction.
86770,Route 160,CONSTRUCTION,Stop #57370 108th Ave SE & SE 217th St (SB) and Stop #57190 108th Ave SE & SE 217th St (NB) relocated from Mon Apr 20 through Tue Aug 11 due to construction.
87304,Route 165,CONSTRUCTION,"Route 165 will be rerouted off portions of W Smith St and W Meeker St between 4th Ave N & Washington Ave N Thu Apr 30, 2026 through Fri Dec 24, 2027 due to construction."
87346,Route 331,CONSTRUCTION,Route 331 to Aurora Village/Kenmore is rerouted off NE Bothell Way between 68th Ave NE and 73rd Ave NE through Fri Aug 28 due to construction.
87734,Route 75,CONSTRUCTION,Stop #35440 NE 125th St & 30th Ave NE (EB) relocated until further notice due to construction.
87888,"Route 160, Route 906",CONSTRUCTION,Stop #59390 SE Carr Rd & 103rd Ave SE (EB) closed from Wed May 13 at 12:00 AM to Fri Jul 31 at 12:00 AM due to construction.
87933,"Route 250, Route 239",CONSTRUCTION,"Stop #70666 NE 85th St & Kirkland Way (EB) closed through Tue Aug 31, 2027 due to construction."
88002,Route 250,CONSTRUCTION,Stop #72180 State St S & 10th Ave S (NB) relocated Wed May 13 to Fri Jul 31 from 8:00 AM to 4:00 PM daily due to construction.
88423,Route 240,CONSTRUCTION,"Stop #82810 Main St & 112th Ave NE (WB) closed from Wed May 27 to Thu Dec 31 from 8:00 AM to 3:00 PM daily, Mon-Fri only due to construction."
88508,"Route 183, Route 150",CONSTRUCTION,"Routes 150 and 183 will be rerouted and will not serve stop #80600 W James St & 4th Ave N (EB) Mon Jun 1 to Fri Jul 31 from 11:00 PM to 4:00 AM nightly, due to construction."
88856,Route 165,CONSTRUCTION,Route 165 is rerouted off E James St between Jason Ave N and Railroad Ave N from Mon Jun 1 to Fri Jul 31 from 11:00 PM to 4:00 AM daily due to construction.
88860,Route 75,CONSTRUCTION,Stop #35420 NE 125th St & 25th Ave NE (EB) relocated through Sun Aug 2 due to construction.
88962,"Route 67, Route 32, Route 31, Route 45",CONSTRUCTION,Stop #25202 NE 45th St & University Village (WB) relocated from Thu Jun 4 through Fri Aug 28 due to construction.
88978,Route 160,CONSTRUCTION,Stop #58180 Central Ave S & S 259th St (SB) relocated through Wed Jul 1 due to construction.
88979,Route 160,MAINTENANCE,Stop #58270 Auburn Way N & 22nd St NE (SB) and Stop #57900 Auburn Way N & 22nd St NE (NB) relocated through Sat Aug 1 due to bus stop maintenance work.
88980,Route 160,MAINTENANCE,Stop #57407 104th Ave SE & SE 248th St (SB) and Stop #57162 104th Ave SE & SE 248th St (NB) relocated through Sat Aug 1 due to bus stop maintenance work.
89000,Route 223,CONSTRUCTION,Route 223 will be rerouted off Lake Hills Blvd between SE 16th St and 156th Ave SE from Tue Jun 9 through Tue Feb 2 due to construction.
89116,"Route 250, Route 239",CONSTRUCTION,Stop #70664 NE 85th St & 114th Ave NE (WB) relocated Thu Jun 4 to Thu Aug 20 from 7:00 AM to 6:00 PM daily due to construction.
89529,Route 160,CONSTRUCTION,Stop #58235 Auburn Way N & 42nd St NE (SB) and Stop #57920 Auburn Way N & 42nd St NE (NB) closed from Mon Jun 15 through Sat Aug 15 due to construction.
89650,Route 160,CONSTRUCTION,Stop #57990 Central Ave S & S 259th St (NB) relocated from Mon Mar 23 through Mon Jun 1 due to construction.
89748,"Route 333, Route 989, Route 365",CONSTRUCTION,Stop #16330 Meridian Ave N & N 150th St (SB) closed through Sat Aug 29 due to construction.
89925,"Route 102, Route 148",CONSTRUCTION,Stop #60022 116th Ave SE & SE 160th St (SB) relocated from Mon Jun 22 to Wed Sep 30 from 7:00 AM to 5:00 PM daily due to construction.
