Fetch_Time,Alert_ID,Status,Affected_Routes,Cause,Summary
2026-08-06 12:44:03,78178,Active,"F Line, Route 150",CONSTRUCTION,Stop #58104 Southcenter Blvd & 65th Ave S (EB) closed through Fri Aug 28 due to construction.
2026-08-06 12:44:03,78978,Active,Route 239,CONSTRUCTION,Route 239 to UW Bothell / Cascadia College is rerouted off Main St between 102nd Ave NE & 104th Ave NE through Fri Sep 25 due to construction.
2026-08-06 12:44:03,80245,Active,"Route 12, Route 10",CONSTRUCTION,Stop #11480 E Pine St & 15th Ave (WB) relocated through Thu Dec 31 due to construction.
2026-08-06 12:44:03,80976,Active,Route 65,CONSTRUCTION,Route 65 to Shoreline South 148th Station is rerouted off NE 145th St between 15th Ave NE and 5th Ave NE through Fri Aug 28 due to construction.
2026-08-06 12:44:03,82885,Active,Route 156,OTHER_CAUSE,"Route 156 will be rerouted off portions of Kent Des Moines Rd, S 240th St and 16th Ave S from Mon Feb 9 to Thu Dec 31 due to a road closure."
2026-08-06 12:44:03,82886,Active,Route 165,OTHER_CAUSE,Route 165 will be rerouted off S 240th St between 16th Ave S and 20th Ave S from Mon Feb 9 to Thu Dec 31 due to a road closure.
2026-08-06 12:44:03,84453,Active,Route 70,CONSTRUCTION,Stop #9550 Eastlake Ave E & E Allison St (NB) relocated until Fri Aug 28 at 7:00 PM due to construction.
2026-08-06 12:44:03,86095,Active,"Route 914, Route 165",OTHER_CAUSE,Stop #57188 W Meeker St & Washington Ave S (EB) relocated from Mon Apr 6 through Mon Apr 26 due to permanent bus stop closure.
2026-08-06 12:44:03,86627,Active,Route 168,CONSTRUCTION,Stop #62319 SE Kent-Kangley Rd & 235th Ave SE (EB) relocated from Wed Apr 15 to Fri Sep 25 8:00 AM to 3:00 PM daily due to construction.
2026-08-06 12:44:03,86736,Active,Route 70,CONSTRUCTION,Route 70 to Downtown Seattle is rerouted off Fairview Ave N between Aloha St and Valley St until Mon Aug 31 due to construction.
