route_id,formatted_name
100001,Route 1
100002,Route 10
100003,Route 101
100004,Route 105
100005,Route 106
100006,Route 107
100009,Route 11
100011,Route 111
100012,Route 113
100016,Route 118
100017,Route 119
100018,Route 12
100020,Route 121
100023,Route 124
100024,Route 125
100026,Route 128
100028,Route 13
100030,Route 131
100031,Route 132
100039,Route 14
100042,Route 148
100045,Route 150
100048,Route 153
100057,Route 164
100058,Route 166
100060,Route 168
100062,Route 17
100068,Route 177
100072,Route 181
100073,Route 182
100074,Route 183
100089,Route 2
100099,Route 208
100101,Route 21
100104,Route 212
100111,Route 22
100132,Route 24
100133,Route 240
100136,Route 245
100146,Route 255
100160,Route 269
100161,Route 27
100162,Route 271
100169,Route 28
100173,Route 3
100177,Route 303
100184,Route 31
100193,Route 32
100194,Route 33
100196,Route 331
100202,Route 345
100203,Route 346
100205,Route 348
100210,Route 36
100214,Route 372
100219,Route 4
100223,Route 43
100224,Route 44
100225,Route 45
100228,Route 48
100229,Route 5
100230,Route 50
100232,Route 522
100236,Route 545
100239,Route 550
100240,Route 554
100242,Route 56
100246,Route 57
100249,Route 60
100252,Route 62
100254,Route 65
100259,Route 67
100263,Route 7
100264,Route 70
100269,Route 75
100271,Route 77
100272,Route 773
100275,Route 8
100289,Route 9
100290,Route 901
100292,Route 903
100297,Route 914
100300,Route 917
100336,Route 973
100337,Route 975
100340,South Lake Union Streetcar
100341,Route 982
100344,Route 986
100345,Route 987
100346,Route 988
100347,Route 989
100447,Route 49
100451,Route 556
100459,Route 218
100473,Route 981
100481,Route 775
100487,Route 102
100489,Route 156
100495,Route 193
100496,Route 930
100511,Route 542
100512,A Line
102548,B Line
102552,Route 226
102557,Route 915
102558,Route 931
102561,Route 907
102574,Route 40
102576,C Line
102581,D Line
102593,Route 906
102615,E Line
102619,F Line
102634,Route 630
102636,Route 631
102638,First Hill Streetcar
102646,Trailhead Direct Issaquah Alps
102647,Route 635
102650,Trailhead Direct Mt. Si
102652,Route 204
102653,Route 224
102698,Duvall-Monroe Shuttle
102699,Valley Shuttle
102701,Route 225
102702,Route 239
102703,Route 231
102704,Route 250
102705,Route 230
102715,Route 162
102717,Route 165
102718,Route 184
102719,Route 161
102720,Route 160
102729,Route 322
102732,Route 79
102734,Route 566
102736,H Line
102744,Route 365
102745,G Line
102746,Route 333
102747,Route 61
102752,Route 223
102753,Route 222
102754,Route 256
102755,Route 203
102756,Route 249
102757,Route 187
102758,Route 570
102763,Waterfront Shuttle
102764,Route 220
102765,Route 902
102766,Route 270
102767,Route 547
102768,Route 72
102769,Route 215
102770,Golden Gardens Direct
7994,Easy Loop
