Date/Time,Incident Number,Level,Units,Location,Type
2026-07-31 13:24:25,F260107064,1.0,E40,35th Ave Ne / Ne 75th St,MVI - Motor Vehicle Incident
2026-07-31 12:40:39,F260107044,1.0,L3,3100 S Lane St,MVI - Motor Vehicle Incident
2026-07-31 12:08:09,F260107024,1.0,E2,MINOR AVE N / MERCER ST,MVI - Motor Vehicle Incident
2026-07-31 10:32:12,F260106978,,E10,4th Ave S / S Royal Brougham Way,MVI - Motor Vehicle Incident
2026-07-31 09:54:37,F260106953,1.0,E27,East Marginal Way S / S Orcas St,MVI - Motor Vehicle Incident
2026-07-31 08:59:55,F260106939,1.0,E17,15th Ave Ne / Ne 50th St,MVI - Motor Vehicle Incident
2026-07-30 10:46:02,F260106444,1.0,E37,Sw Rose St / 37th Ave Sw,MVI - Motor Vehicle Incident
2026-07-30 10:05:25,F260106426,1.0,E32,5439 California Ave Sw,MVI - Motor Vehicle Incident
2026-07-30 09:15:41,F260106396,1.0,L1,3rd Ave / Yesler Way,MVI - Motor Vehicle Incident
2026-07-30 09:06:33,F260106392,1.0,E20,1631 15th Ave W,MVI - Motor Vehicle Incident
2026-07-29 08:18:23,F260105875,1.0,E28,42nd Ave S / S Graham St,MVI - Motor Vehicle Incident
2026-07-29 07:45:12,F260105867,1.0,E11,26th Ave Sw / Sw Roxbury St,MVI - Motor Vehicle Incident
2026-07-29 06:46:57,F260105849,1.0,E26,Nb Sr509 At Cloverdale,MVI - Motor Vehicle Incident
2026-07-28 07:58:20,F260105382,1.0,A25 E16 E17,Sb I5 At 45,MVI Freeway
2026-07-28 03:40:00,F260105316,1.0,E33,8326 46TH AVE S,MVI - Motor Vehicle Incident
