Event_Name,Date_Time,Location,Severity_Score,Intersecting_Streets
Seattle Pride Parade,July 2026,Seattle,9,"['4th Ave', 'Pine St', 'Denny Way']"
Seafair Weekend Festival,July 2026,,9,"['Lake Washington Blvd S', 'S Genesee St', '43rd Ave S']"
FIFA March to the Match,July 2026,,7,"['1st Ave S', 'S King St', 'Occidental Ave S']"
Alki Art Fair,July 2026,Alki,7,"['Alki Ave SW', '61st Ave SW', 'SW Lander St']"
Float Dodger 5K,July 2026,,7,"['California Ave SW', 'SW Alaska St', 'SW Admiral Way']"
Seafair Triathlon,July 2026,,7,"['Lake Washington Blvd S', 'S Orcas St', 'Seward Park Ave S']"
Bite of Seattle Staging & Curb Use,July 2026,Seattle,7,"['5th Ave N', 'Mercer St', '1st Ave N']"
Fremont Sunday Market,July 2026,Fremont,6,"['N 34th St', 'Fremont Ave N', 'Evanston Ave N']"
Seattle Soccer Celebration,July 2026,Seattle,6,"['1st Ave N', 'Thomas St', 'Harrison St']"
Ballard FC and Salmon Bay FC Home Games,July 2026,Ballard,6,"['15th Ave W', 'W Nickerson St', 'W Armory Way']"
Seattle to Portland Bicycle Classic,July 2026,Seattle,6,"['Montlake Blvd NE', 'NE Pacific St', 'NE 45th St']"
OCRA Rivkin Family SummeRun,July 2026,,6,"['Westlake Ave N', 'Valley St', 'Terry Ave N']"
2026 Games in U District,July 2026,U District,6,"['NE 45th St', 'University Way NE', 'Brooklyn Ave NE']"
Amazon Bring your Kids to Work Day 2026,July 2026,Amazon,6,"['Terry Ave N', 'Westlake Ave N', 'Harrison St']"
Canoe Journey 2026 Paddle To Nisqually,July 2026,Nisqually,6,"['Alki Ave SW', '63rd Ave SW', 'Harbor Ave SW']"
Magnolia Summerfest,July 2026,Magnolia,6,"['W Smith St', '34th Ave W', 'W Raye St']"
Lake Union Concerts - Gas Works,July 2026,Gas Works,6,"['N Northlake Way', 'N 34th St', 'Wallingford Ave N']"
Lake Union Concerts - South Lake Union Location,July 2026,South Lake Union Location,5,"['Westlake Ave N', 'Valley St', 'Mercer St']"
FIFA World Cup Eritrean Arts and Music Celebration,July 2026,,5,"['5th Ave N', 'Harrison St', 'Mercer St']"
Watch Parties at Westlake Park,July 2026,Westlake Park,5,"['4th Ave', 'Pine St', 'Pike St']"
North Helpline 2026 Block Party,July 2026,,5,"['Lake City Way NE', 'NE 125th St', '30th Ave NE']"
Microsoft Corporation MCAPS Start 2026,July 2026,,5,"['7th Ave', 'Pike St', 'Pine St']"
37 Annual Indian Days Powwow,July 2026,,5,"['W Government Way', 'Texas Way W', '36th Ave W']"
20th Annual Bastille Day Celebration,July 2026,,5,"['E Madison St', '28th Ave E', '29th Ave E']"
Fremont Evening Market,July 2026,Fremont,5,"['N 34th St', 'Fremont Ave N', 'Evanston Ave N']"
Match Alley - Gantry Public House,July 2026,Gantry Public House,4,"['Westlake Ave N', 'Denny Way', 'Terry Ave N']"
Westlake Park Happy Hour,July 2026,Westlake Park,4,"['4th Ave', 'Pine St', 'Pike St']"
Wallingford Farmers Market,July 2026,Wallingford,4,"['N 50th St', 'Meridian Ave N', 'Bagley Ave N']"
Magnolia Flea,July 2026,Magnolia,4,"['W McGraw St', '33rd Ave W', '34th Ave W']"
Volunteer Park Summer Series,July 2026,Volunteer Park,4,"['15th Ave E', 'E Prospect St', 'E Galer St']"
Fat Salmon Open Water Swim,July 2026,,4,"['E Madison St', 'Lake Washington Blvd E', '43rd Ave E']"
Shoestring Circus,July 2026,,4,"['Broadway', 'E Pine St', 'E Pike St']"
Downtown Summer Sounds,July 2026,Downtown,3,"['3rd Ave', 'Pine St', '4th Ave']"
