timestamp,temperature,precipitation_intensity,wind_speed,weather_code,weather_description
2026-08-06 09:00:00-07:00,62.56,,2.8,1000,"Clear, Sunny"
2026-08-06 10:00:00-07:00,61.65,,3.7,1001,Cloudy
2026-08-06 11:00:00-07:00,62.94,,5.5,1001,Cloudy
2026-08-06 12:00:00-07:00,65.28,,5.9,1100,Mostly Clear
2026-08-06 13:00:00-07:00,67.6,,6.6,1000,"Clear, Sunny"
2026-08-06 14:00:00-07:00,70.47,,7.1,1000,"Clear, Sunny"
2026-08-06 15:00:00-07:00,73.27,,7.8,1000,"Clear, Sunny"
2026-08-06 16:00:00-07:00,75.4,,7.9,1000,"Clear, Sunny"
2026-08-06 17:00:00-07:00,75.97,,8.0,1000,"Clear, Sunny"
2026-08-06 18:00:00-07:00,75.94,,7.6,1000,"Clear, Sunny"
2026-08-06 19:00:00-07:00,74.39,,7.0,1000,"Clear, Sunny"
2026-08-06 20:00:00-07:00,71.58,,6.0,1000,"Clear, Sunny"
2026-08-06 21:00:00-07:00,68.05,,5.8,1000,"Clear, Sunny"
2026-08-06 22:00:00-07:00,64.38,,4.7,1000,"Clear, Sunny"
2026-08-06 23:00:00-07:00,63.05,,2.2,1000,"Clear, Sunny"
2026-08-07 00:00:00-07:00,60.96,,4.1,1000,"Clear, Sunny"
2026-08-07 01:00:00-07:00,57.76,,3.6,1000,"Clear, Sunny"
2026-08-07 02:00:00-07:00,57.54,,1.6,1000,"Clear, Sunny"
2026-08-07 03:00:00-07:00,57.9,,1.0,1000,"Clear, Sunny"
2026-08-07 04:00:00-07:00,57.09,,2.0,1000,"Clear, Sunny"
2026-08-07 05:00:00-07:00,56.46,,1.8,1000,"Clear, Sunny"
2026-08-07 06:00:00-07:00,56.39,,0.7,1000,"Clear, Sunny"
2026-08-07 07:00:00-07:00,57.6,,2.8,1000,"Clear, Sunny"
2026-08-07 08:00:00-07:00,60.19,,3.2,1000,"Clear, Sunny"
2026-08-07 09:00:00-07:00,62.74,,4.4,1000,"Clear, Sunny"
2026-08-07 10:00:00-07:00,65.17,,4.4,1000,"Clear, Sunny"
2026-08-07 11:00:00-07:00,68.0,,5.2,1000,"Clear, Sunny"
2026-08-07 12:00:00-07:00,70.3,,6.0,1000,"Clear, Sunny"
2026-08-07 13:00:00-07:00,71.58,,5.8,1000,"Clear, Sunny"
2026-08-07 14:00:00-07:00,73.38,,6.2,1000,"Clear, Sunny"
2026-08-07 15:00:00-07:00,74.77,,6.1,1000,"Clear, Sunny"
2026-08-07 16:00:00-07:00,75.72,,5.3,1000,"Clear, Sunny"
2026-08-07 17:00:00-07:00,76.75,,4.0,1000,"Clear, Sunny"
2026-08-07 18:00:00-07:00,76.8,,3.8,1000,"Clear, Sunny"
2026-08-07 19:00:00-07:00,74.55,,4.3,1000,"Clear, Sunny"
2026-08-07 20:00:00-07:00,71.65,,2.8,1000,"Clear, Sunny"
2026-08-07 21:00:00-07:00,67.84,,1.3,1100,Mostly Clear
2026-08-07 22:00:00-07:00,61.63,,4.9,1102,Mostly Cloudy
2026-08-07 23:00:00-07:00,60.89,,2.3,1001,Cloudy
2026-08-08 00:00:00-07:00,61.12,,4.2,1001,Cloudy
2026-08-08 01:00:00-07:00,58.42,,4.5,1001,Cloudy
2026-08-08 02:00:00-07:00,58.42,,4.5,1001,Cloudy
2026-08-08 03:00:00-07:00,57.49,,3.7,1001,Cloudy
2026-08-08 04:00:00-07:00,56.7,,2.5,1001,Cloudy
2026-08-08 05:00:00-07:00,62.73,,1.6,2000,Fog
2026-08-08 06:00:00-07:00,60.67,,1.0,2000,Fog
2026-08-08 07:00:00-07:00,61.2,,0.9,2000,Fog
2026-08-08 08:00:00-07:00,61.81,,1.5,2000,Fog
2026-08-08 09:00:00-07:00,63.45,,1.5,2100,Light Fog
2026-08-08 10:00:00-07:00,66.13,,1.9,2100,Light Fog
2026-08-08 11:00:00-07:00,69.58,,1.1,1101,Partly Cloudy
2026-08-08 12:00:00-07:00,72.93,,1.9,1001,Cloudy
2026-08-08 13:00:00-07:00,75.51,,1.9,1001,Cloudy
2026-08-08 14:00:00-07:00,77.52,,3.3,1001,Cloudy
2026-08-08 15:00:00-07:00,79.27,,2.9,1001,Cloudy
2026-08-08 16:00:00-07:00,80.22,,4.0,1000,"Clear, Sunny"
2026-08-08 17:00:00-07:00,80.37,,6.4,1000,"Clear, Sunny"
2026-08-08 18:00:00-07:00,79.75,,7.0,1000,"Clear, Sunny"
2026-08-08 19:00:00-07:00,78.94,,7.1,1100,Mostly Clear
2026-08-08 20:00:00-07:00,76.55,,7.7,1100,Mostly Clear
