Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,0,1,0,8,0,0.0,0.0011376911978030842,1,Train,0.0011376911978030842,0.0009483983101245477,,,,,0.0,,0,1,0
2026-07-22,0,1,1,25,0,0.0,0.009672688210297308,3,Train,0.009672688210297308,0.008314797442566512,,,,,0.0,,0,1,0
2026-07-22,0,10,0,25,0,0.0,0.008106904160781005,2,Train,0.008106904160781005,0.00706949888497577,,,,,0.0,,0,1,0
2026-07-22,0,10,1,13,0,0.0,0.0026650901556858186,1,Train,0.0026650901556858186,0.0022716059990610677,,,,,0.0,,0,1,0
2026-07-22,0,101,0,25,0,0.0,0.014383805419224592,3,Train,0.014383805419224592,0.012423127079899737,,,,,0.0,,0,1,0
2026-07-22,0,101,1,2,0,0.0,0.00023952132438375838,1,Train,0.00023952132438375838,0.00019251673412060474,,,,,0.0,,0,1,0
2026-07-22,0,105,0,10,0,0.0,0.0018648966268329649,1,Train,0.0018648966268329649,0.0015827641790342815,,,,,0.0,,0,1,0
2026-07-22,0,106,0,96,0,0.0,0.033696458982073095,5,Train,0.033696458982073095,0.029369365954838227,,,,,0.0,,0,1,0
2026-07-22,0,106,1,61,0,0.0,0.0154392772345037,4,Train,0.0154392772345037,0.013225067236204539,,,,,0.0,,0,1,0
2026-07-22,0,107,0,116,0,0.0,0.015760309596175047,4,Train,0.015760309596175047,0.013694316074828305,,,,,0.0,,0,1,0
2026-07-22,0,107,1,108,0,0.0,0.01497695048792623,3,Train,0.01497695048792623,0.012944163298780332,,,,,0.0,,0,1,0
2026-07-22,0,11,0,62,0,0.0,0.035714178091718486,5,Train,0.035714178091718486,0.03179413238772432,,,,,0.0,,0,1,0
2026-07-22,0,11,1,22,0,0.0,0.005532431816275953,2,Train,0.005532431816275953,0.004754791865846664,,,,,0.0,,0,1,0
2026-07-22,0,12,0,24,0,0.0,0.005670218838499525,2,Train,0.005670218838499525,0.004906389971557692,,,,,0.0,,0,1,0
2026-07-22,0,12,1,16,0,0.0,0.0029289175972157773,1,Train,0.0029289175972157773,0.002495668679373811,,,,,0.0,,0,1,0
2026-07-22,0,124,0,41,0,0.0,0.005419602455258395,2,Train,0.005419602455258395,0.004689388573243093,,,,,0.0,,0,1,0
2026-07-22,0,124,1,44,0,0.0,0.006751529908564113,2,Train,0.006751529908564113,0.005836615960977901,,,,,0.0,,0,1,0
2026-07-22,0,125,0,49,0,0.0,0.01473908507922214,3,Train,0.01473908507922214,0.013102828345514964,,,,,0.0,,0,1,0
2026-07-22,0,125,1,1,0,0.0,3.155589372647586e-05,1,Train,3.155589372647586e-05,2.5239445331263643e-05,,,,,0.0,,0,1,0
2026-07-22,0,128,0,156,0,0.0,0.017606037442937882,4,Train,0.017606037442937882,0.015620323779420882,,,,,0.0,,0,1,0
2026-07-22,0,128,1,40,0,0.0,0.0014256137697929525,1,Train,0.0014256137697929525,0.0012080987333991486,,,,,0.0,,0,1,0
2026-07-22,0,13,0,27,0,0.0,0.014009788609603203,3,Train,0.014009788609603203,0.012189085432269398,,,,,0.0,,0,1,0
2026-07-22,0,13,1,39,0,0.0,0.030463731832336888,5,Train,0.030463731832336888,0.026724796243871706,,,,,0.0,,0,1,0
2026-07-22,0,131,0,98,0,0.0,0.016599584487368514,4,Train,0.016599584487368514,0.014860893229130593,,,,,0.0,,0,1,0
2026-07-22,0,131,1,99,0,0.0,0.018448718306502604,4,Train,0.018448718306502604,0.016470555326129562,,,,,0.0,,0,1,0
2026-07-22,0,132,0,121,0,0.0,0.014439889979497557,3,Train,0.014439889979497557,0.012901896155291056,,,,,0.0,,0,1,0
2026-07-22,0,132,1,126,0,0.0,0.017012090210312216,4,Train,0.017012090210312216,0.015172547059332511,,,,,0.0,,0,1,0
2026-07-22,0,14,0,54,0,0.0,0.02594860971755622,5,Train,0.02594860971755622,0.022905462131029702,,,,,0.0,,0,1,0
2026-07-22,0,14,1,37,0,0.0,0.013823085821344686,3,Train,0.013823085821344686,0.012021752328474352,,,,,0.0,,0,1,0
2026-07-22,0,150,0,52,0,0.0,0.024373128249260825,5,Train,0.024373128249260825,0.020915428364832973,,,,,0.0,,0,1,0
2026-07-22,0,150,1,43,0,0.0,0.018528155195944272,4,Train,0.018528155195944272,0.015756769783880655,,,,,0.0,,0,1,0
2026-07-22,0,168,0,39,0,0.0,0.003892478101084049,2,Train,0.003892478101084049,0.003404432887847131,,,,,0.0,,0,1,0
2026-07-22,0,168,1,47,0,0.0,0.0060389434853073565,2,Train,0.0060389434853073565,0.005296124779967322,,,,,0.0,,0,1,0
2026-07-22,0,2,0,75,0,0.0,0.02596531730554342,5,Train,0.02596531730554342,0.02271461323472958,,,,,0.0,,0,1,0
2026-07-22,0,2,1,76,0,0.0,0.02902710034059244,5,Train,0.02902710034059244,0.025325121304584572,,,,,0.0,,0,1,0
2026-07-22,0,21,0,34,0,0.0,0.004814701905776731,2,Train,0.004814701905776731,0.00413661779613881,,,,,0.0,,0,1,0
2026-07-22,0,21,1,35,0,0.0,0.0055421242485454,2,Train,0.0055421242485454,0.004751135223129009,,,,,0.0,,0,1,0
2026-07-22,0,24,0,41,0,0.0,0.0025776818097595407,1,Train,0.0025776818097595407,0.002245501024051313,,,,,0.0,,0,1,0
2026-07-22,0,24,1,24,0,0.0,0.001028926258098037,1,Train,0.001028926258098037,0.0008789074498956211,,,,,0.0,,0,1,0
2026-07-22,0,240,0,5,0,0.0,0.00019213414402779544,1,Train,0.00019213414402779544,0.00015438757078186255,,,,,0.0,,0,1,0
2026-07-22,0,255,0,82,0,0.0,0.037663440737950325,6,Train,0.037663440737950325,0.03293382359923811,,,,,0.0,,0,1,0
2026-07-22,0,255,1,2,0,0.0,6.626754964790871e-05,1,Train,6.626754964790871e-05,5.196669701643808e-05,,,,,0.0,,0,1,0
2026-07-22,0,28,0,23,0,0.0,0.010803007554641664,3,Train,0.010803007554641664,0.00936642507938753,,,,,0.0,,0,1,0
2026-07-22,0,28,1,21,0,0.0,0.00994930659695578,3,Train,0.00994930659695578,0.008575767007657406,,,,,0.0,,0,1,0
2026-07-22,0,3,0,42,0,0.0,0.01163509732280533,3,Train,0.01163509732280533,0.010298382415325349,,,,,0.0,,0,1,0
2026-07-22,0,3,1,42,0,0.0,0.012681992856221635,3,Train,0.012681992856221635,0.011190300366957447,,,,,0.0,,0,1,0
2026-07-22,0,32,0,78,0,0.0,0.041823423836388124,6,Train,0.041823423836388124,0.0372170000176273,,,,,0.0,,0,1,0
2026-07-22,0,32,1,77,0,0.0,0.044475885460278565,6,Train,0.044475885460278565,0.039438947379201804,,,,,0.0,,0,1,0
2026-07-22,0,331,0,46,0,0.0,0.001179168818914909,1,Train,0.001179168818914909,0.0010317467389995701,,,,,0.0,,0,1,0
2026-07-22,0,331,1,45,0,0.0,0.0012328451641516753,1,Train,0.0012328451641516753,0.0010746406038241226,,,,,0.0,,0,1,0
2026-07-22,0,348,0,29,0,0.0,0.0020523549073645977,1,Train,0.0020523549073645977,0.0017520144548971708,,,,,0.0,,0,1,0
2026-07-22,0,348,1,36,0,0.0,0.0033575888637683814,1,Train,0.0033575888637683814,0.002876541160893691,,,,,0.0,,0,1,0
2026-07-22,0,36,0,52,0,0.0,0.02095903479307442,4,Train,0.02095903479307442,0.01799457404388847,,,,,0.0,,0,1,0
2026-07-22,0,36,1,99,0,0.0,0.07810318040372873,7,Train,0.07810318040372873,0.06821520835766622,,,,,0.0,,0,1,0
2026-07-22,0,372,0,68,0,0.0,0.035098863617794476,5,Train,0.035098863617794476,0.030524321629554613,,,,,0.0,,0,1,0
2026-07-22,0,372,1,39,0,0.0,0.013311280133181912,3,Train,0.013311280133181912,0.011341797442814718,,,,,0.0,,0,1,0
2026-07-22,0,4,0,108,0,0.0,0.10254871880944424,7,Train,0.10254871880944424,0.090881723793544,,,,,0.0,,0,1,0
2026-07-22,0,4,1,80,0,0.0,0.062904327560354,7,Train,0.062904327560354,0.05505197407616989,,,,,0.0,,0,1,0
2026-07-22,0,44,0,77,0,0.0,0.09440792536132638,7,Train,0.09440792536132638,0.08302932409399412,,,,,0.0,,0,1,0
2026-07-22,0,44,1,78,0,0.0,0.10547229637598453,7,Train,0.10547229637598453,0.09251092181863092,,,,,0.0,,0,1,0
